Sentence #,Word,POS,Tag
,:,Z,O
,Je,Va-r3s-n,O
,vsakokratna,Agpfsn,O
,predpostavljena,Appfsn,O
,ploskev,Ncfsn,O
,",",Z,O
,do,Sg,O
,katere,Pq-fsg,O
,sega,Vmpr3s,O
,vodna,Agpfsn,O
,gladina,Ncfsn,O
,v,Sl,B-HAS_LOCATION
,kraškem,Agpnsl,I-HAS_LOCATION
,podzemlju,Ncnsl,I-HAS_LOCATION
,v,Sl,I-HAS_LOCATION
,sistemu,Ncmsl,I-HAS_LOCATION
,veznih,Agpfpg,I-HAS_LOCATION
,posod,Ncfpg,I-HAS_LOCATION
,.,Z,O
Sentence: 4,gladina,Ncfsn,B-DEFINIENDUM
,kraške,Agpfsg,I-DEFINIENDUM
,vode,Ncfsg,I-DEFINIENDUM
,",",Z,O
,nivo,Ncmsn,B-GENUS
,kraške,Agpfsg,O
,vode,Ncfsg,O
,:,Z,O
,Pomeni,Vmbr3s,O
,nivo,Ncmsn,O
,",",Z,O
,od,Sg,O
,katerega,Pq-msg,O
,se,Px------y,O
,pretežno,Rgp,O
,vodoravno,Rgp,O
,in,Cc,O
,prosto,Rgp,O
,pretaka,Vmpr3s,O
,kraška,Agpfsn,O
,voda,Ncfsn,O
,proti,Sd,O
,izvirom,Ncmpd,O
,ali,Cc,O
,stoji,Vmpr3s,O
,(,Z,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,),Z,O
,v,Sl,O
,slepih,Agpmpl,O
,kanalih,Ncmpl,O
,.,Z,O
,Piezometrični,Agpmsny,O
,nivo,Ncmsn,O
,oziroma,Cc,O
,gladina,Ncfsn,O
,kraške,Agpfsg,O
,vode,Ncfsg,O
,oscilirata,Vmpr3d,B-HAS_CAUSE
,v,Sl,I-HAS_CAUSE
,odvisnosti,Ncfsl,I-HAS_CAUSE
,od,Sg,I-HAS_CAUSE
,vodostaja,Ncmsg,I-HAS_CAUSE
,.,Z,O
Sentence: 5,Območje,Ncnsn,B-DEFINIENDUM
,osciliranja,Ncnsg,I-DEFINIENDUM
,:,Z,O
,prehodna,Agpfsn,O
,cona,Ncfsn,B-GENUS
,",",Z,O
,periodično,Rgp,O
,vlažna,Agpfsn,O
,cona,Ncfsn,O
,.,Z,O
Sentence: 6,gravitacijska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,gravitacijski,Agpmsny,B-DEFINIENDUM
,vodni,Agpmsny,I-DEFINIENDUM
,tok,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Voda,Ncfsn,O
,(,Z,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,),Z,O
,v,Sl,B-HAS_LOCATION
,kraškem,Agpnsl,I-HAS_LOCATION
,podzemlju,Ncnsl,I-HAS_LOCATION
,",",Z,O
,ki,Cs,O
,se,Px------y,B-HAS_CAUSE
,pretaka,Vmpr3s,I-HAS_CAUSE
,gravitacijsko,Rgp,I-HAS_CAUSE
,(,Z,O
,težnostno,Rgp,O
,),Z,O
,v,Sl,B-HAS_LOCATION
,kanalih,Ncmpl,I-HAS_LOCATION
,ter,Cc,O
,v,Sl,O
,njih,Pp3mpl,O
,ne,Q,B-HAS_FUNCTION
,sega,Vmpr3s,I-HAS_FUNCTION
,do,Sg,I-HAS_FUNCTION
,stropa,Ncmsg,I-HAS_FUNCTION
,in,Cc,I-HAS_FUNCTION
,ima,Vmpr3s-n,I-HAS_FUNCTION
,prosto,Agpfsa,I-HAS_FUNCTION
,gladino,Ncfsa,I-HAS_FUNCTION
,(,Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,s,Si,O
,tlačno,Agpfsi,O
,gladino,Ncfsi,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,značilna,Agpfsn,O
,za,Sa,O
,tlačni,Agpmsay,O
,ali,Cc,O
,eforacijski,Agpmsay,O
,tok,Ncmsan,O
,),Z,O
,.,Z,O
Sentence: 7,freatična,Agpfsn,B-DEFINIENDUM
,cona,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Najnižja,Agsfsn,O
,hidrografska,Agpfsn,B-GENUS
,cona,Ncfsn,I-GENUS
,",",Z,O
,v,Sl,O
,kateri,Pq-fsl,O
,voda,Ncfsn,O
,trajno,Rgp,O
,zapolnjuje,Vmpr3s,O
,votline,Ncfpa,O
,",",Z,O
,prevladuje,Vmpr3s,B-HAS_CAUSE
,pa,Cc,I-HAS_CAUSE
,tlačno,Agpnsa,I-HAS_CAUSE
,pretakanje,Ncnsn,I-HAS_CAUSE
,.,Z,O
Sentence: 8,freatična,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,freatični,Agpmsny,B-DEFINIENDUM
,vodni,Agpmsny,I-DEFINIENDUM
,tok,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Kraška,Agpfsn,B-GENUS
,voda,Ncfsn,I-GENUS
,(,Z,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,),Z,O
,v,Sl,B-HAS_LOCATION
,freatični,Agpfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,.,Z,O
,Zapolnjuje,Vmpr3s,B-HAS_FUNCTION
,votline,Ncfpa,I-HAS_FUNCTION
,pod,Si,B-HAS_LOCATION
,piezometričnim,Agpmsi,I-HAS_LOCATION
,nivojem,Ncmsi,I-HAS_LOCATION
,(,Z,I-HAS_LOCATION
,nivojem,Ncmsi,I-HAS_LOCATION
,kraške,Agpfsg,I-HAS_LOCATION
,vode,Ncfsg,I-HAS_LOCATION
,),Z,O
,.,Z,O
Sentence: 9,ujeta,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Voda,Ncfsn,B-GENUS
,",",Z,O
,ki,Cs,O
,v,Sl,B-HAS_LOCATION
,freatični,Agpfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,stagnira,Vmpr3s,B-HAS_FUNCTION
,v,Sl,I-HAS_FUNCTION
,slepih,Agpmpl,I-HAS_FUNCTION
,ali,Cc,I-HAS_FUNCTION
,nepovezanih,Agpmpl,I-HAS_FUNCTION
,kanalih,Ncmpl,I-HAS_FUNCTION
,.,Z,O
Sentence: 10,zajezena,Appfsn,B-DEFINIENDUM
,kraška,Agpfsn,I-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,podzemeljska,Agpfsn,O
,kraška,Agpfsn,O
,voda,Ncfsn,O
,v,Sl,B-HAS_LOCATION
,globoki,Agpfsl,I-HAS_LOCATION
,freatični,Agpfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,",",Z,O
,ki,Cs,O
,zapolnjuje,Vmpr3s,B-HAS_FUNCTION
,vodoprehodne,Agpfpa,I-HAS_FUNCTION
,votline,Ncfpa,I-HAS_FUNCTION
,pod,Si,I-HAS_FUNCTION
,piezometričnim,Agpmsi,I-HAS_FUNCTION
,nivojem,Ncmsi,I-HAS_FUNCTION
,",",Z,O
,katerega,Pq-msa,O
,višino,Ncfsa,O
,določajo,Vmpr3p,O
,vodoneprepustne,Agpfpn,O
,kamnine,Ncfpn,O
,.,Z,O
Sentence: 11,hidrogeološki,Agpmsny,B-DEFINIENDUM
,izolator,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Neprepustna,Agpfsn,B-HAS_FUNCTION
,kamnina,Ncfsn,I-GENUS
,v,Sl,B-HAS_LOCATION
,kraškem,Agpnsl,I-HAS_LOCATION
,ozemlju,Ncnsl,I-HAS_LOCATION
,",",Z,O
,navadno,Rgp,O
,v,Sl,B-HAS_FORM
,obliki,Ncfsl,I-HAS_FORM
,vložka,Ncmsg,I-HAS_FORM
,",",Z,O
,ki,Cs,B-HAS_FUNCTION
,razdvaja,Vmpr3s,I-HAS_FUNCTION
,porečji,Ncnda,I-HAS_FUNCTION
,ali,Cc,I-HAS_FUNCTION
,zajezuje,Vmpr3s,I-HAS_FUNCTION
,podzemeljski,Agpmsay,I-HAS_FUNCTION
,vodni,Agpmsay,I-HAS_FUNCTION
,tok,Ncmsan,I-HAS_FUNCTION
,.,Z,O
Sentence: 12,Hladnica,Ncfsn,O
,",",Z,O
,hladna,Agpfsn,B-DEFINIENDUM
,jama,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Jama,Ncfsn,B-GENUS
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,poleti,Rgp,O
,nadpovprečno,Rgp,O
,hladna,Agpfsn,O
,",",Z,O
,ker,Cs,B-HAS_CAUSE
,je,Va-r3s-n,I-HAS_CAUSE
,žepaste,Agpfsg,I-HAS_CAUSE
,oblike,Ncfsg,I-HAS_CAUSE
,",",Z,O
,z,Si,B-HAS_FORM
,enim,Mlpmsi,I-HAS_FORM
,vhodom,Ncmsi,I-HAS_FORM
,iznad,Sg,I-HAS_FORM
,votline,Ncfsg,I-HAS_FORM
,",",Z,O
,tako,Cc,B-HAS_FUNCTION
,da,Cs,I-HAS_FUNCTION
,se,Px------y,I-HAS_FUNCTION
,v,Sl,I-HAS_FUNCTION
,njej,Pp3fsl,I-HAS_FUNCTION
,zadržuje,Vmpr3s,I-HAS_FUNCTION
,zimski,Agpmsny,I-HAS_FUNCTION
,hlad,Ncmsn,I-HAS_FUNCTION
,.,Z,O
Sentence: 13,hodnik,Ncmsn,B-DEFINIENDUM
,:,Z,O
,Precejšen,Agpmsnn,O
,",",Z,O
,dokaj,Rgp,O
,enakomerno,Rgp,B-HAS_SIZE
,širok,Agpmsnn,I-HAS_SIZE
,in,Cc,O
,visok,Agpmsnn,B-HAS_SIZE
,jamski,Agpmsny,B-GENUS
,rov,Ncmsn,I-GENUS
,",",Z,O
,po,Sl,O
,katerem,Pq-msl,O
,je,Va-r3s-n,O
,hoja,Ncfsn,O
,razmeroma,Rgp,O
,lahka,Agpfsn,O
,.,Z,O
Sentence: 14,hum,Ncmsn,B-DEFINIENDUM
,:,Z,O
,V,Sl,O
,kraški,Agpfsl,O
,literaturi,Ncfsl,O
,pomeni,Vmbr3s,O
,osamljen,Appmsnn,O
,korozijsko,Agpnsn,B-HAS_CAUSE
,-,Z,I-HAS_CAUSE
,erozijsko,Agpnsn,I-HAS_CAUSE
,-,Z,I-HAS_CAUSE
,denudacijski,Agpmsay,I-HAS_CAUSE
,ostanek,Ncmsan,I-HAS_CAUSE
,višjega,Agcmsg,I-HAS_CAUSE
,reliefa,Ncmsg,I-HAS_CAUSE
,",",Z,O
,zlasti,Q,O
,na,Sl,B-HAS_LOCATION
,dnu,Ncnsl,I-HAS_LOCATION
,kraškega,Agpnsg,I-HAS_LOCATION
,polja,Ncnsg,I-HAS_LOCATION
,.,Z,O
,Slovensko,Agpnsn,O
,ljudsko,Agpnsn,O
,tudi,Q,O
,goričica,Ncfsn,O
,za,Sa,O
,nizke,Agpfpa,O
,osamelce,Ncfpa,O
,(,Z,O
,npr.,Y,O
,na,Sl,O
,Cerkniškem,Agpnsl,O
,polju,Ncnsl,O
,),Z,O
,.,Z,O
,Ljudsko,Agpnsn,O
,ime,Ncnsn,O
,v,Sl,O
,vseh,Pg-mpl,O
,jugoslovanskih,Agpmpl,O
,jezikih,Ncmpl,O
,",",Z,O
,v,Sl,O
,različnih,Agpfpl,O
,inačicah,Ncfpl,O
,(,Z,O
,hom,Ncmsn,O
,",",Z,O
,holm,Ncmsn,O
,",",Z,O
,holmec,Ncmsn,O
,",",Z,O
,hum,Ncmsn,O
,),Z,O
,.,Z,O
,Pomeni,Vmbr3s,O
,osamljeno,Appfsa,B-HAS_FORM
,vzpetinico,Ncfsa,I-HAS_FORM
,",",Z,O
,golico,Ncfsa,O
,ali,Cc,O
,grič,Ncmsan,B-HAS_FORM
,na,Sl,I-HAS_FORM
,ravnini,Ncfsl,I-HAS_FORM
,",",Z,O
,tudi,Q,O
,izven,Sg,O
,krasa,Ncmsg,O
,.,Z,O
Sentence: 15,ilovnate,Agpfpn,B-DEFINIENDUM
,piramide,Ncfpn,I-DEFINIENDUM
,:,Z,O
,Nekaj,Rgp,B-HAS_SIZE
,centimetrov,Ncmpg,I-HAS_SIZE
,ali,Cc,I-HAS_SIZE
,decimetrov,Ncmpg,I-HAS_SIZE
,visoke,Agpfsg,I-HAS_SIZE
,piramide,Ncfsg,O
,v,Sl,B-HAS_LOCATION
,ilovnatem,Agpnsl,I-HAS_LOCATION
,jamskem,Agpnsl,I-HAS_LOCATION
,dnu,Ncnsl,I-HAS_LOCATION
,",",Z,O
,ki,Cs,B-HAS_CAUSE
,jih,Pp3mpa--y,I-HAS_CAUSE
,je,Va-r3s-n,I-HAS_CAUSE
,izdelala,Vmep-sf,I-HAS_CAUSE
,kapljajoča,Appfsn,I-HAS_CAUSE
,voda,Ncfsn,I-HAS_CAUSE
,.,Z,O
Sentence: 16,fazna,Agpfsn,B-DEFINIENDUM
,meja,Ncfsn,I-DEFINIENDUM
,-,Z,O
,Ploskev,Ncfsn,B-HAS_FORM
,",",Z,O
,ki,Cs,O
,v,Sl,B-HAS_LOCATION
,speleogenetskem,Agpmsl,I-HAS_LOCATION
,prostoru,Ncmsl,I-HAS_LOCATION
,ločuje,Vmpr3s,B-HAS_FUNCTION
,matično,Agpfsa,I-HAS_FUNCTION
,kamnino,Ncfsa,I-HAS_FUNCTION
,od,Sg,I-HAS_FUNCTION
,speleofaktov,Ncmpg,I-HAS_FUNCTION
,oz.,Y,O
,speleofakte,Ncfsg,O
,med,Si,O
,seboj,Px---i,O
,.,Z,O
Sentence: 17,fosilizacija,Ncfsn,B-DEFINIENDUM
,(,Z,O
,kanala,Ncmdn,O
,),Z,O
,-,Z,O
,Preoblikovanje,Ncnsn,B-GENUS
,kanala,Ncmsg,I-GENUS
,v,Sl,B-HAS_LOCATION
,prežeti,Appfsl,I-HAS_LOCATION
,ali,Cc,I-HAS_LOCATION
,neprežeti,Agpfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,.,Z,O
,Poleg,Sg,O
,sedimentacije,Ncfsg,O
,in,Cc,O
,rušenja,Ncnsg,O
,vključuje,Vmpr3s,O
,tudi,Q,O
,diagenezo,Ncfsa,O
,.,Z,O
,Polnilo,Ncnsn,O
,v,Sl,O
,fosiliziranem,Appmsl,O
,kanalu,Ncmsl,O
,se,Px------y,O
,obnaša,Vmpr3s,O
,kot,Cs,O
,kompaktna,Agpfsn,O
,kamnina,Ncfsn,O
,in,Cc,O
,f.,Y,O
,kanal,Ncmsn,O
,pri,Sl,O
,možnem,Agpnsl,O
,ponovnem,Agpnsl,O
,zakrasevanju,Ncnsl,O
,ne,Q,O
,more,Vmpr3s,O
,služiti,Vmpn,O
,kot,Cs,O
,inicialna,Agpfsn,O
,struktura,Ncfsn,O
,.,Z,O
,kamnina,Ncfsn,O
Sentence: 18,freatični,Agpmsny,B-DEFINIENDUM
,kanal,Ncmsn,I-DEFINIENDUM
,-,Z,O
,Kanal,Ncmsn,B-GENUS
,",",Z,O
,nastal,Vmep-sm,B-HAS_LOCATION
,v,Sl,I-HAS_LOCATION
,prežeti,Appfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,.,Z,O
,Njegov,Ps3msnsm,B-HAS_CAUSE
,prostorski,Agpmsny,I-HAS_CAUSE
,potek,Ncmsn,I-HAS_CAUSE
,se,Px------y,I-HAS_CAUSE
,ne,Q,I-HAS_CAUSE
,ravna,Vmpr3s,I-HAS_CAUSE
,po,Sl,I-HAS_CAUSE
,vodoravni,Agpfsl,I-HAS_CAUSE
,smeri,Ncfsl,I-HAS_CAUSE
,",",Z,I-HAS_CAUSE
,temveč,Cc,I-HAS_CAUSE
,po,Sl,I-HAS_CAUSE
,smeri,Ncfsl,I-HAS_CAUSE
,inicialnih,Agpfpg,I-HAS_CAUSE
,struktur,Ncfpg,I-HAS_CAUSE
,.,Z,O
,Značilna,Agpmdn,B-HAS_FORM
,sta,Va-r3d-n,I-HAS_FORM
,elipsast,Agpmdn,I-HAS_FORM
,ali,Cc,I-HAS_FORM
,lečast,Agpmsny,I-HAS_FORM
,prečni,Agpmsny,I-HAS_FORM
,presek,Ncmsn,I-HAS_FORM
,.,Z,O
Sentence: 19,freatično,Agpnsn,B-DEFINIENDUM
,brezno,Ncnsn,I-DEFINIENDUM
,-,Z,O
,Strukturni,Agpmsny,O
,segment,Ncmsn,O
,",",Z,O
,ki,Cs,B-HAS_LOCATION
,nastane,Vmer3s,I-HAS_LOCATION
,v,Sl,I-HAS_LOCATION
,prežeti,Appfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,ob,Sl,B-HAS_CAUSE
,preskoku,Ncmsl,I-HAS_CAUSE
,kanala,Ncmsg,I-HAS_CAUSE
,z,Sg,I-HAS_CAUSE
,enega,Mlpmsg,I-HAS_CAUSE
,začetnega,Agpmsg,I-HAS_CAUSE
,horizonta,Ncmsg,I-HAS_CAUSE
,v,Sa,I-HAS_CAUSE
,drugega,Mlpmsa,I-HAS_CAUSE
,.,Z,O
,Prostorska,Agpfsn,O
,orientacija,Ncfsn,O
,freatičnega,Agpnsg,O
,brezna,Ncnsg,O
,se,Px------y,B-HAS_CAUSE
,ravna,Vmpr3s,I-HAS_CAUSE
,približno,Rgp,I-HAS_CAUSE
,po,Sl,I-HAS_CAUSE
,padnici,Ncfsl,I-HAS_CAUSE
,inicialne,Agpfsg,I-HAS_CAUSE
,strukture,Ncfsg,I-HAS_CAUSE
,.,Z,O
,Manjša,Agcnpn,O
,freatična,Agpnpn,O
,brezna,Ncnpn,O
,so,Va-r3p-n,B-HAS_FORM
,v,Sl,I-HAS_FORM
,prečnem,Agpmsl,I-HAS_FORM
,(,Z,I-HAS_FORM
,približno,Rgp,I-HAS_FORM
,vodoravnem,Agpmsl,I-HAS_FORM
,),Z,I-HAS_FORM
,prerezu,Ncmsl,I-HAS_FORM
,elipsasta,Agpmsg,I-HAS_FORM
,in,Cc,I-HAS_FORM
,podobna,Agpnpn,I-HAS_FORM
,kaminom,Ncmpd,I-HAS_FORM
,.,Z,O
,Od,Sg,O
,njih,Pp3mpg,O
,ločimo,Vmbr1p,O
,reatična,Agpnpa,O
,brezna,Ncnpa,O
,najlaže,Rgs,O
,po,Sl,O
,tem,Pd-nsl,O
,",",Z,O
,da,Cs,O
,se,Px------y,O
,na,Sl,O
,nasprotnih,Agpfpl,O
,straneh,Ncfpl,O
,lezičnih,Agpmpg,O
,kanalov,Ncmpg,O
,",",Z,O
,katere,Pq-mpa,O
,povezujejo,Vmpr3p,O
,",",Z,O
,ne,Q,O
,nadaljujejo,Vmpr3p,O
,.,Z,O
,Ob,Sl,O
,nastajanju,Ncnsl,O
,sledi,Vmpr3s,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,pravilu,Ncnsd,O
,veznih,Agpfpg,O
,posod,Ncfpg,O
,in,Cc,O
,se,Px------y,O
,lahko,Rgp,O
,giba,Vmpr3s,O
,navzdol,Rgp,O
,ali,Cc,O
,navzgor,Rgp,O
,.,Z,O
Sentence: 20,Gamsov,Aspmsnn,B-DEFINIENDUM
,efekt,Ncmsn,I-DEFINIENDUM
,-,Z,O
,Način,Ncmsn,O
,preoblikovanja,Ncnsg,B-GENUS
,svežnja,Ncmsg,I-GENUS
,",",Z,O
,ko,Cs,B-HAS_CAUSE
,ponikalnica,Ncfsn,I-HAS_CAUSE
,z,Sg,I-HAS_CAUSE
,nekraškega,Agpnsg,I-HAS_CAUSE
,površja,Ncnsg,I-HAS_CAUSE
,vnaša,Vmpr3s,I-HAS_CAUSE
,prod,Ncmsan,I-HAS_CAUSE
,.,Z,O
,Ker,Cs,B-HAS_CAUSE
,pretok,Ncmsn,I-HAS_CAUSE
,in,Cc,I-HAS_CAUSE
,transportna,Agpfsn,I-HAS_CAUSE
,moč,Ncfsn,I-HAS_CAUSE
,vode,Ncfsg,I-HAS_CAUSE
,nista,Va-r3d-y,I-HAS_CAUSE
,popolnoma,Rgp,I-HAS_CAUSE
,enakomerna,Agpmdn,I-HAS_CAUSE
,",",Z,O
,se,Px------y,O
,plavje,Ncnsn,O
,odlaga,Vmpr3s,O
,v,Sl,O
,globljih,Agcmpl,O
,delih,Ncmpl,O
,svežnja,Ncmsg,O
,.,Z,O
,To,Pd-nsn,B-HAS_CAUSE
,prisili,Vmer3s,I-HAS_CAUSE
,vodo,Ncfsa,I-HAS_CAUSE
,",",Z,I-HAS_CAUSE
,da,Cs,I-HAS_CAUSE
,ubira,Vmpr3s,I-HAS_CAUSE
,pota,Ncnpa,I-HAS_CAUSE
,po,Sl,I-HAS_CAUSE
,kanalih,Ncmpl,I-HAS_CAUSE
,",",Z,I-HAS_CAUSE
,ki,Cs,I-HAS_CAUSE
,so,Va-r3p-n,I-HAS_CAUSE
,vse,Rgp,I-HAS_CAUSE
,bliže,Rgc,I-HAS_CAUSE
,piezometrični,Agpfsd,I-HAS_CAUSE
,gladini,Ncfsd,I-HAS_CAUSE
,.,Z,O
,Če,Cs,O
,proces,Ncmsn,O
,traja,Vmpr3s,O
,dovolj,Rgp,O
,dolgo,Rgp,O
,",",Z,O
,voda,Ncfsn,O
,končno,Rgp,O
,izoblikuje,Vmer3s,O
,tunelski,Agpmsay,O
,rov,Ncmsan,O
,vzdolž,Sg,O
,gladine,Ncfsg,O
,podtalnice,Ncfsg,O
,in,Cc,O
,teče,Vmpr3s,O
,po,Sl,O
,lastnem,Agpmsl,O
,nasipu,Ncmsl,O
,.,Z,O
,Dejansko,Rgp,O
,to,Pd-nsn,O
,pomeni,Vmbr3s,O
,vdor,Ncmsan,O
,tluvialnih,Agpfpg,O
,razmer,Ncfpg,O
,v,Sa,O
,kraško,Agpnsa,O
,podzemlje,Ncnsa,O
,(,Z,O
,transenvironmental,Xf,O
,effect,Ncmsn,O
,),Z,O
,in,Cc,O
,Gamsov,Aspmsnn,O
,efekt,Ncmsn,O
,je,Va-r3s-n,B-HAS_LOCATION
,značilen,Agpmsnn,I-HAS_LOCATION
,za,Sa,I-HAS_LOCATION
,kras,Ncmsan,I-HAS_LOCATION
,na,Sl,I-HAS_LOCATION
,nizvodnem,Agpmsl,I-HAS_LOCATION
,stiku,Ncmsl,I-HAS_LOCATION
,z,Si,I-HAS_LOCATION
,nekrasom,Ncmsi,I-HAS_LOCATION
,.,Z,O
,l.,Y,O
,Gams,Npmsn,O
,(,Z,O
,1959,Mdc,O
,),Z,O
,je,Va-r3s-n,O
,tako,Rgp,O
,razložil,Vmep-sm,O
,lego,Ncfsa,O
,in,Cc,O
,nastanek,Ncmsan,O
,večine,Ncfsg,O
,največjih,Agsfpg,O
,jam,Ncfpg,O
,na,Sl,O
,Slovenskem,Npnsl,O
,.,Z,O
,podtalnice,Ncfsg,O
,vzdolž,Sg,O
,gladine,Ncfsg,O
,podtalnice,Ncfsg,O
Sentence: 21,Gospodaričev,Aspmsnn,B-DEFINIENDUM
,efekt,Ncmsn,I-DEFINIENDUM
,-,Z,O
,Način,Ncmsn,O
,preoblikovanja,Ncnsg,B-GENUS
,svežnja,Ncmsg,I-GENUS
,",",Z,O
,ko,Cs,B-HAS_CAUSE
,voda,Ncfsn,I-HAS_CAUSE
,prenaša,Vmpr3s,I-HAS_CAUSE
,prod,Ncmsan,I-HAS_CAUSE
,",",Z,I-HAS_CAUSE
,ki,Cs,I-HAS_CAUSE
,nastaja,Vmpr3s,I-HAS_CAUSE
,v,Sl,I-HAS_CAUSE
,samem,Agpnsl,I-HAS_CAUSE
,kraškem,Agpnsl,I-HAS_CAUSE
,podzemlju,Ncnsl,I-HAS_CAUSE
,.,Z,O
,Končni,Agpmsny,O
,učinek,Ncmsn,O
,je,Va-r3s-n,O
,podoben,Agpmsnn,O
,Gamsovemu,Aspmsd,O
,e.,Y,O
,",",Z,O
,torej,Cc,O
,nastanejo,Vmer3p,O
,tunelski,Agpmpn,O
,rovi,Ncmpn,O
,.,Z,O
,Ker,Cs,O
,pa,Cc,O
,gre,Vmbr3s,O
,za,Sa,O
,manjše,Agcfpa,O
,količine,Ncfpa,O
,plavja,Ncnsg,O
,kot,Cs,O
,v,Sl,O
,primeru,Ncmsl,O
,Gamsovega,Aspmsg,O
,e.,Y,O
,",",Z,O
,niže,Rgc,O
,ležeči,Appmpn,O
,kanali,Ncmpn,O
,niso,Va-r3p-y,O
,vedno,Rgp,O
,zasuti,Appmpn,O
,.,Z,O
,Gospodaričev,Aspmsnn,O
,e.,Y,O
,ni,Va-r3s-y,O
,vezan,Appmsnn,O
,na,Sa,O
,stik,Ncmsan,O
,krasa,Ncmsg,O
,z,Si,O
,nekrasom,Ncmsi,O
,in,Cc,O
,je,Va-r3s-n,O
,izjemen,Agpmsnn,O
,primer,Ncmsn,O
,nekraškega,Agpmsg,O
,mehanizma,Ncmsg,O
,v,Sl,O
,čistem,Agpmsl,O
,krasu,Ncmsl,O
,.,Z,O
,R.,Y,O
,Gospodarič,Npmsn,O
,(,Z,O
,1976,Mdc,O
,),Z,O
,je,Va-r3s-n,O
,tako,Rgp,O
