REL_LABEL,REL_TOK,REL_FRAME
HAS_CAUSE,generally formed by solution of limestone,formed by
DEFINED_AS,Enlargement of parts of a cave system,
HAS_CAUSE,by fall of rock masses from walls and ceiling,
HAS_CAUSE,have collapsed from the walls and ceiling of a cave,collapsed from
HAS_CAUSE,either cemented together by dripstone or in a matrix of cave earth,cemented together by
HAS_LOCATION,in a cave,
HAS_FORM,Angular,
HAS_FUNCTION,forming a fill in a cave,in a|forming a
HAS_FORM,rough,
HAS_SIZE,generally small,
HAS_FORM,knobby,
HAS_LOCATION,"found on floor , walls , or ceiling of a cave",found on
HAS_FORM,resembling coral in shape,in shape
COMPOSITION_MEDIUM,of calcite,of
HAS_ATTRIBUTE,Insoluble,
COMPOSITION_MEDIUM,"deposits of clay , silt , sand , or gravel",
COMPOSITION_MEDIUM,"In a more restricted sense , cave earth includes only the finer fractions : clay , silt , and fine sand deposits",
HAS_FUNCTION,flooring or filling a cave passage,flooring|filling
HAS_FUNCTION,can store and transmit significant quantities of water,can
HAS_RESULT,transforms into calcite during diagenesis,transforms into
OCCURS_IN_MEDIUM,forms in seawater,forms in
HAS_FORM,bounded on top and bottom by confining beds,bounded|by
HAS_LOCATION,has remained almost entirely on the bedding plane,almost entirely on the
HAS_FORM,not enlarged by growth into a major tube or canyon,enlarged by growth into a
HAS_SIZE,large enough to be examined in some way by man,large enough
HAS_CAUSE,have been transformed by solution into closed depressions,transformed by
HAS_FUNCTION,keeps groundwater from draining away,keeps
HAS_CAUSE,formed by the influence surface river flow,formed by
HAS_ATTRIBUTE,that dissolves and is karstified similarly as limestone,
DEFINED_AS,vertical change in the level of the potentiometric surface at the well,
CONTAINS,lacks a stream,
HAS_LOCATION,in the lower part of the karstosphere,in the lower part of
HAS_CAUSE,where the internal ( telluric ) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength,where
HAS_LOCATION,uppermost zone of exposed karst rock,uppermost zone of
HAS_ATTRIBUTE,permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below,
HAS_FORM,highly corroded,
HAS_LOCATION,near the surface,near the
OCCURS_IN_TIME,at one time of the year a swallow hole and at another time a spring,at one time of the year
COMPOSITION_MEDIUM,of limestone,of
HAS_FORM,A hemispheric hill,
HAS_FORM,Shallow,
HAS_FORM,asymmetrical,
HAS_LOCATION,distributed in rather regular fashion over limestone surfaces,distributed in
HAS_CAUSE,caused by turbulent waterflow,caused by
HAS_FORM,wavy or folded sheet of flowstone,
HAS_FORM,often translucent and resonant,often
HAS_LOCATION,hanging from the roof or projecting from the wall of a cave,
HAS_FORM,Solution crevice in limestone,
HAS_LOCATION,underlying residual phosphate deposits,underlying
HAS_FORM,Karren-like,
HAS_LOCATION,formed beneath the soil,formed beneath
HAS_CAUSE,in which all solution and precipitation has cersed,
HAS_ATTRIBUTE,dry,
HAS_CAUSE,formed mainly by direct solution of the limestone surface zone,formed mainly by
HAS_SIZE,in depth from a few to several hundred meters,in depth
HAS_SIZE,ranging in diameter from a few meters to a kilometer,ranging in diameter
HAS_FORM,basin - or funnel-shaped,
COMPOSITION_MEDIUM,in limestone,
HAS_CAUSE,formed by collapse over a cave,formed by
HAS_FORM,Some dolines are gentle grassy hollows ; others are rocky cliff-bounded basins,
HAS_SIZE,small,
HAS_LOCATION,occupying a doline,occupying a
COMPOSITION_MEDIUM,composed of calcium magnesium carbonate,composed of
COMPOSITION_MEDIUM,composed of the mineral dolomite,composed of
HAS_CAUSE,by the substitution of magnesium carbonate for part of the original calcium carbonate,
HAS_FUNCTION,whereby limestone becomes dolomite,
HAS_FORM,thin sheet,
COMPOSITION_MEDIUM,of dripstone,of
COMPOSITION_MEDIUM,in rock or clay,in
HAS_CAUSE,produced by fast-dripping water,produced by
HAS_FORM,Hollow,
HAS_LOCATION,"surrounded by precipitated material , such as the bottom of a stalactite",surrounded by
COMPOSITION_MEDIUM,in some places composed of aragonite or gypsum,composed of
HAS_CAUSE,deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,deposited from
COMPOSITION_MEDIUM,"commonly refers to the rock in stalactites , stalagmites , and other similar speleothems",
HAS_ATTRIBUTE,A cave without a running stream,
HAS_RESULT,from which a stream flows or formerly did,from which a
HAS_ATTRIBUTE,which cannot be followed upstream to the surface,
HAS_CAUSE,remnant from a previous period of karstification,remnant from
HAS_ATTRIBUTE,"characterized by the presence of ancient ( buried ) deposits , as lithified cave fills or breccias",characterized by
HAS_FORM,submerged part covered with dog-tooth spar to give the appearance of a drumstick,
HAS_CAUSE,which has been partly submerged,
HAS_FUNCTION,"moving mainly downwards through pores , cracks and tight fissures",
HAS_LOCATION,in the vadose zone,in the
HAS_FUNCTION,permitting water to pass through it,
DEFINED_AS,the property of rock or soil permitting water to pass through it,the property of|permitting
HAS_LOCATION,below the level at which all voids in the rock are completely filled with water,below the
HAS_LOCATION,where voids in the rock are completely filled with water,where
HAS_CAUSE,left by the removal of surrounding rock,left by the
HAS_FORM,from roof to floor,
HAS_LOCATION,projecting as much as several metres down from the surface into ' karst rocks,projecting
HAS_FORM,tubular,
CONTAINS,"often filled with earth , sand , gravel , breccia , etc",filled with
HAS_SIZE,projecting as much as several metres down from the surface,
HAS_LOCATION,occurring at the foot of a waterfall or rapid,occurring at the
HAS_LOCATION,on the surface or underground,on the
HAS_SIZE,generally of large size,of
HAS_FORM,the floor makes a sharp break with parts of surrounding slopes,
HAS_FUNCTION,draining underground,
HAS_RESULT,which may be liable to flood and become a lake,
HAS_SIZE,large,
HAS_FORM,closed depression,
HAS_FORM,with a flat floor across which there may be an intermittent or perennial stream,
HAS_FORM,so that divides between them form a crudely polygonal network,form a
HAS_FORM,pitted by closed depressions,
DEFINED_AS,property of rock or soil of having small voids between the constituent particles,
COMPOSITION_MEDIUM,rock or soil,
HAS_FORM,resemble those of karst,resemble
CONTAINS,with landforms,
HAS_RESULT,which are not the producer of karst processes,
HAS_CAUSE,produced by earlier geomorphic processes within the present cycle of karstification,produced by
OCCURS_IN_TIME,old,
CONTAINS,"deposition of speleothems , sediments or skeletal deposits",
HAS_FUNCTION,open to modification by present-day processes,
DEFINED_AS,occurrence of swallow holes and fractures,
HAS_FUNCTION,intended particularly for use in the karst of the Jura mountains,intended particularly for use
CONTAINS,clusters of steep limestone hills,
CONTAINS,smaller numbers of larger islands,
HAS_ATTRIBUTE,that is no longer related in time or space to the active karst system that formed it,
HAS_CAUSE,karst-related cavernous porosity and / or of cave-collapse-related interclast and fracture porosity,karst-related
HAS_LOCATION,deep portion of an aquifer,portion of
HAS_FUNCTION,does not experience exchange with stream water,does not experience
HAS_FORM,"naked , reticulated , saw-topped ridges with spires",
HAS_FORM,vertical side slopes,
HAS_SIZE,c . 120 m high,high
HAS_SIZE,smallest,
HAS_FORM,distinctive rilling appearance,appearance
HAS_SIZE,diameter ranges from 0.5 – 5 cm and rarely exceed 2 cm in depth,rarely exceed|diameter ranges from
HAS_SIZE,small,
HAS_FORM,"cup-like hollows , sub-circular in plan and nearly parabolic in cross section",in plan|in cross section
HAS_CAUSE,"the solvent supply is not directly related to rainfall , but corresponds to overspilling stores of water , such as moss clumps , small snow banks , or soil remnants",not directly related to
HAS_FORM,reduce in width and depth downslope,
HAS_LOCATION,develops beneath soil cover,develops
HAS_CAUSE,arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,arising from
CONTAINS,distinctive hydrology and landforms,
HAS_LOCATION,in some parts of the cave,in
HAS_ATTRIBUTE,often in association with calcite,
HAS_RESULT,dripping water speleothems such as stalactites and stalagmites,
HAS_RESULT,"known to form seeping water speleothems such as crusts , hair , cotton , and flowers",known to form
HAS_POSITION,"occur in Lechuguilla Cave , New Mexico",occur in
CONTAINS,pitted by solution pans,pitted by
HAS_FORM,commonly divided into blocks by solutionally widened joints,commonly divided into
HAS_LOCATION,parallel to the bedding,parallel to the
COMPOSITION_MEDIUM,surface of limestone,of
CONTAINS,in which there is river action or active deposition of speleothems,in which there is
HAS_FORM,a surface stream,
HAS_LOCATION,In a karst region,In a
HAS_ATTRIBUTE,that enters an underground course,
HAS_LOCATION,in karst areas,in
STUDIES,in studying ground-water movement,
COMPOSITION_MEDIUM,of lycopodium claratum,of
HAS_FUNCTION,which can be used in natural or dyed color as a label,which can be used
HAS_LOCATION,In a cave,In a
HAS_CAUSE,formed by lateral shifting of a cave stream,formed by
HAS_FORM,an arcuate curve,
HAS_LOCATION,in a channel,
HAS_LOCATION,in the wall of a cave,in the
HAS_CAUSE,formed by the downward and lateral erosion of a stream on the floor of a passage,formed by the
HAS_FORM,conical or crescentshaped opening,
COMPOSITION_MEDIUM,"as found on thin , impure , or chalky limestone",as found on
CONTAINS,where surface drainage and dry valleys are present in addition to some karstic features,where|are present
HAS_SIZE,surficial features are small,
CONTAINS,dominated by minor karst features,dominated by
DEFINED_AS,Dissolving of limestone,
HAS_CAUSE,derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure,derived from
COMPOSITION_MEDIUM,by water,
COMPOSITION_MEDIUM,of limestone,
HAS_POSITION,in Cuba,
HAS_FORM,surrounded by nearly flat alluviated plains,surrounded by
HAS_FORM,steep-sided,
HAS_POSITION,in the Sierra de los Organos,in the
HAS_FORM,karst residual hills,
HAS_POSITION,in the Tropics,in the
COMPOSITION_MEDIUM,calcareous,
COMPOSITION_MEDIUM,"composed of calcite , huntite , or magnesite",composed of
HAS_FORM,plastic,
HAS_ATTRIBUTE,white,
COMPOSITION_MEDIUM,composed principally of clay or sandy clay and commonly less than 30 percent calcium carbonate,composed principally of
CONTAINS,having much exposed bedrock,having
HAS_FORM,rock arch,
HAS_FORM,very short natural tunnel,
HAS_CAUSE,not yet eroded away,
HAS_FORM,rock bridge spanning a ravine,
HAS_FORM,nearly horizontal,
HAS_FORM,open at both ends,
HAS_FORM,generally fairly straight in direction and fairly uniform in cross section,
HAS_LOCATION,"growing on illuminated areas such as rocky surfaces , sediment and artificial materials around lamps",
HAS_POSITION,situated above the Trieste Bay,situated above
HAS_POSITION,in the northern Adriatic Sea,in the northern
HAS_LOCATION,within the superficial part of the karst,within
HAS_FUNCTION,that stores a part of the infiltrated water,stores
HAS_FORM,saturated,
DEFINED_AS,"as thosewithout , or with only a temporary , watercourse",as
HAS_FUNCTION,mostly used to improve the understanding of the hydrological behaviour of karst systems,mostly used to
HAS_CAUSE,"critically depends on both , the aggressiveness of groundwater and its circulation ( movement )",
DEFINED_AS,corresponds to a chemical potential for mobilization of a dissolved matter from the rock,corresponds to a
HAS_ATTRIBUTE,Aggressiveness is an attribute of,is an
COMPOSITION_MEDIUM,in the coastal carbonates,in the
HAS_FORM,a hollow shape,
HAS_SIZE,rounded several decimeters to several meters,rounded
HAS_CAUSE,carved by erosion,carved by
HAS_CAUSE,formed primarily by wave action,formed primarily by
HAS_FUNCTION,hot beds of biological activity,
HAS_LOCATION,In desert environments,In
COMPOSITION_MEDIUM,tend to be zones of high PCO2,zones of
HAS_FORM,upward,
HAS_FORM,topographically depressed,
HAS_ATTRIBUTE,related to karst,related to
HAS_ATTRIBUTE,where crystal growth processes can be directly observed,
HAS_FORM,natural,
HAS_LOCATION,underground,
HAS_LOCATION,in a vadose environment,
HAS_CAUSE,Influxes of sediment into a cave system fundamentally alters the way,
HAS_LOCATION,in a phreatic environment,
HAS_CAUSE,"either by alluviation in a vadose environment , or upwards dissolution in a phreatic environment through a process commonly known as paragenesis",in|in a
CONTAINS,having numerous small closely spaced closed depressions,having
HAS_CAUSE,Solution,
HAS_FORM,shaped like the interior of a round-bottomed kettle,shaped like
HAS_LOCATION,"in ceiling , floor , or walls of a cave",in
HAS_FORM,closed,
HAS_FORM,and surrounded by generally steep walls of limestone,surrounded by
HAS_LOCATION,In areas of karst topography,In
CONTAINS,having a flat floor either of bare limestone or covered by alluvium,having
HAS_SIZE,in some places several kilometers long and wide,long and wide
CONTAINS,where the surface is completely pitted with closed depressions,
HAS_FORM,the divides of which form a crudely polygonal network,
HAS_LOCATION,"Especially common in humid tropical cone-karst terrain , but also found in well-formed temperate doline-karst terrain",common in
HAS_FUNCTION,through which water passes to or from an underground channel,
HAS_LOCATION,in the bottom or side of a closed depression,in the bottom or side of a
HAS_LOCATION,deposited in an isolated pool in a cave,in a|deposited in an
COMPOSITION_MEDIUM,Crystalline material,
HAS_CAUSE,from water entering the cave so slowly through pores and cracks that it does not form drops,
HAS_LOCATION,deposited on the interior of a cave,deposited on the interior of a
COMPOSITION_MEDIUM,Mineral matter,
HAS_CAUSE,natural,
HAS_FORM,nearly circular,
HAS_LOCATION,in a thin rock wall in a cave,
HAS_LOCATION,"worn into rock in a streambed , at a waterfall , or near sea level",at a|worn into|near
HAS_SIZE,small,
HAS_FORM,rounded,
HAS_CAUSE,"by sand , gravel , and stones being spun around by force of the currents",spun around by force
HAS_FORM,vertical or steeply inclined,
COMPOSITION_MEDIUM,in limestone,
HAS_CAUSE,"produced by a process other than the dissolving of rock , such as the rough surface above a lava field",above|produced by a
CONTAINS,"Features of pseudokarst include lava tunnels , lava tubes , lava stalactites , and lava stalagmites",include
HAS_LOCATION,rough surface above a lava field,
HAS_CAUSE,remaining on a rock surface after removal of calcium carbonate by solution,
COMPOSITION_MEDIUM,Clay or sandy clay,
HAS_LOCATION,Point at which an underground stream reaches the surface and becomes a surface stream,
HAS_FORM,terraced rimstone,
HAS_LOCATION,In a cave,In
HAS_CAUSE,controlled by joints or faults .,controlled by
HAS_FORM,long narrow high,
DEFINED_AS,the proportion of radon produced that is released into the atmosphere,
HAS_SIZE,such that > 95% is < 44 µm,
HAS_CAUSE,derived by fine grinding,derived by
HAS_LOCATION,relict sea caves on former coastlines,
HAS_LOCATION,forming along present coastlines,forming along
HAS_LOCATION,found throughout the world,found
HAS_SIZE,a few cubic metres in volume,in volume
HAS_FORM,fragments of a single bed,
HAS_CAUSE,seems to be originated by microbiological reactions,originated by
HAS_LOCATION,under the flank of the high ground,under
HAS_CAUSE,forms the island,
DEFINED_AS,the position of the cave at the margin of the lens,
COMPOSITION_MEDIUM,involving subterranean environments and their specific microclimate,
HAS_CAUSE,receive the bulk of their recharge from a karst surface,
COMPOSITION_MEDIUM,in autogenic aquifers,in
HAS_ATTRIBUTE,exhibit less variability in discharge and composition,exhibit
HAS_LOCATION,coastal,
HAS_FORM,connected to the sea by cave corridors,connected to
HAS_FUNCTION,"produce a variety of extracellular enzymes ( lipases , proteinases , and chitinases ) that degrade organic detritus",produce
HAS_LOCATION,in caves,
HAS_FUNCTION,important decomposers in caves,in
COMPOSITION_MEDIUM,composed largely of calcite flakes,composed
HAS_FORM,"silty , laminated sediments",
STUDIES,caves in volcanic rocks — primarily lava tube caves and open vertical volcanic conduits,
CONTAINS,containing salt or brackish water,containing
OCCURS_IN_TIME,fluctuates with the tides,
HAS_FORM,pools with no surface connection to the sea,
HAS_CAUSE,accidental intersections of the caves by surface erosion,by
CONTAINS,groups of rocky hills or peaks,
HAS_LOCATION,rising from shared limestone foot-slopes .,rising from
COMPOSITION_MEDIUM,of K-rich alkaline volcanic rocks,of
HAS_CAUSE,product of intensive acidic weathering of volcaniclastic material,product of
COMPOSITION_MEDIUM,layered clay,
HAS_LOCATION,developed along faults and prominent fractures,developed along
HAS_POSITION,"Aramiska Peštera , Garnikovska Propast , Mala Peštera and Pešti Cave",
HAS_LOCATION,leading to epiphreatic tube passages,leading to
HAS_ATTRIBUTE,time-controlled pattern,
COMPOSITION_MEDIUM,prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover,prevails where
HAS_SIZE,Smaller scale forms,
HAS_SIZE,smaller than the passage diameter,smaller than
HAS_FUNCTION,primary source of energy for karst formation,
HAS_CAUSE,because water is the solvent that dissolves carbonate rocks and then carries the ions away in solution,because
DEFINED_AS,"long-term , measured time series , typically at a point within a watershed ,",
DEFINED_AS,"information on individual processes within a budget that may not be directly measured within the study area , generally from literature information",
HAS_FUNCTION,allowed calibrating the different components of the streamflow according to different hydrologic processes,
HAS_LOCATION,created in carbonate rocks in the post-petrification period,
OCCURS_IN_TIME,in the post-petrification period,
HAS_CAUSE,"due to gravity , penetrates and flows into the underground system",due to
DEFINED_AS,volume of water released from the prism of a unit cross-sectional area whose height is the total thickness of the aquifer due to change in the piezometric level for 1 m,
DEFINED_AS,change in the water quantity in the storage per unit of area of the free surface of the aquifer,
DEFINED_AS,"property of rocks forming an underground reservoir , to allow water to flow with an appreciable velocity due to the existence of the pressure gradient",
OCCURS_IN_TIME,which at one or more stages of its growth changes its axis from the vertical,at one or more stages of
HAS_FORM,to give a curving or angular form,
DEFINED_AS,"scientific study of the nature , distribution and behaviour of water",
CONTAINS,with perennial ice in it,with|in it
HAS_ATTRIBUTE,which cannot be followed downstream to the surface,
HAS_FUNCTION,into which a stream enters or is known to have entered formerly,
HAS_CAUSE,as a result of solution of rock,as a result of
HAS_LOCATION,on the surface or underground,on the
CONTAINS,with special landforms and drainage characteristics,
HAS_CAUSE,on account of greater solubility of certain rocks in natural waters than is common,on account of
CONTAINS,which has a stream flowing across its bottom,which has a
HAS_FORM,dosed,
HAS_LOCATION,in a cave,in a
HAS_SIZE,small,
HAS_FORM,which is round above and narrow below,which is
HAS_CAUSE,formed by flow of liquid lava through a solidified mass,formed by
HAS_FORM,usually a tube or tunnel,
HAS_LOCATION,in a lava flow,in a
HAS_CAUSE,by roofing of an open channel of flowing lava,
COMPOSITION_MEDIUM,consisting mainly of calcium carbonate,consisting mainly of
CONTAINS,containing a stream or active speleothems.marble,containing a
HAS_FORM,hemispherically roofed part of a cave,
HAS_CAUSE,formed by a stream meandering and cutting down at the same time,formed by
COMPOSITION_MEDIUM,"consisting of calcite , hydrocalcite , hydromagnesite or huntite",consisting of
HAS_FORM,"soft , white plastic",
HAS_CAUSE,formed by weathering,formed by
HAS_FORM,spanning a ravine or valley,spanning a
HAS_CAUSE,formed by erosive agents,formed by
COMPOSITION_MEDIUM,"comprised predominantly of angular , poorly sorted debris",comprised predominantly of
HAS_ATTRIBUTE,"massive , thick-bedded carbonate rock",
HAS_LOCATION,on exposed soluble rock surfaces,on
HAS_CAUSE,form of corrosion,
HAS_FORM,largest flat-floored enclosed depressions,
HAS_LOCATION,in karst,in
HAS_FORM,closed,
HAS_SIZE,large,
HAS_FORM,of elongated or irregular plan form,of
HAS_FORM,denoting a large depression,
HAS_POSITION,in the Dinaric karst,in
AFFECTS,proceeds by the breaking of the walls and ceiling,
HAS_RESULT,until equilibrium is established on the slopes of the doline,until
HAS_ATTRIBUTE,in the formation of karst,in
HAS_LOCATION,formed on a plateau of gently dipping limestone,formed on a
COMPOSITION_MEDIUM,composed of a group of densely distributed limestone columns,composed of
HAS_LOCATION,standing on an undulating karst plateau,standing on
HAS_CAUSE,"precipitated from spring , river or lake water",
HAS_ATTRIBUTE,compact,
COMPOSITION_MEDIUM,calcium carbonate,
HAS_FORM,banded,
HAS_FORM,elliptical or nearly circular in cross-section,
HAS_FORM,of smooth surface,
HAS_CAUSE,"from spring , river or lake waters",from
DEFINED_AS,spongy or vesicular calcium carbonate,
HAS_ATTRIBUTE,to which daylight penetrates,
HAS_LOCATION,the part of a cave,the part of a
HAS_FORM,with several lesser depressions within its rim,within its rim
HAS_FORM,complex dosed,
HAS_FUNCTION,through which water descends under gravity,through which
HAS_LOCATION,the zone where voids in the rock are partly filled with air,where
HAS_FORM,"rising up a deep , steeply inclined , waterfilled passage into a small surface pool",
HAS_LOCATION,on cave surfaces,on
HAS_FORM,"pattern of thin , worm-shaped coatings of day",worm-shaped
HAS_LOCATION,"between phreatic water , which completely fills voids in the rock , and ground air , which partially fills higher voids",between
HAS_LOCATION,on the surface or underground,underground|on the surface
STUDIES,determination of water connection between points of stream disappearance or of soil water seepage and points of reappearance,determination of
HAS_FORM,rounded,
HAS_LOCATION,in a cave floor,in a
HAS_FORM,deep,
HAS_LOCATION,on the surface in karst,on the
HAS_FUNCTION,containing a running stream,containing a
CONTAINS,in which speleothems are growing,
HAS_FUNCTION,having the ability to dissolve rocks,having the ability to
CONTAINS,"containing dissolved carbon dioxide or , rarely , other acids",containing
HAS_LOCATION,in a cave or in a solution - sculptured rock,in a
HAS_FORM,A complex of many irregular and repeatedly connected passages,
DEFINED_AS,A network of tubular passages or holes,
HAS_FORM,feathery or radiating,
HAS_FORM,which radiate ortward from a common base,
COMPOSITION_MEDIUM,composed of feathery or radiating masses of long needlelike crystals of gypsum or aragonite,composed of
HAS_FORM,long needlelike,
COMPOSITION_MEDIUM,mass of flowstone,of
HAS_FORM,smooth,
HAS_LOCATION,covering sloping projections from walls of caves or limestone cliffs,covering
COMPOSITION_MEDIUM,ground-water,
HAS_ATTRIBUTE,Pervious rock that is completely saturated,
HAS_FUNCTION,will yield water to a well or spring,
HAS_FORM,like calcite but differing in crystal form,
COMPOSITION_MEDIUM,"composed of calcium carbonate , CaCO2",composed of
HAS_FORM,ridges rise above forest-covered corridors and depressions,
HAS_FORM,of naked reticulated saw-topped ridges having almost vertical slopes,
HAS_SIZE,a relief of as much as 120 meters,of as much as
HAS_POSITION,"Found in New Guinea at elevations of 2,000 meters and more",Found in
DEFINED_AS,Temporarily rising water level,
HAS_LOCATION,in a cave,in a
HAS_CAUSE,caused downstream passage being too small to pass an abnormally high discharge,
CONTAINS,having parallel colored bands on,having
HAS_FORM,elongated,
HAS_FORM,translucent,
HAS_LOCATION,projecting from roofs and walls of some caves,projecting from
HAS_FORM,Thin,
HAS_LOCATION,on the wall of a cave,
HAS_SIZE,large enough to support one or more persons,large enough
COMPOSITION_MEDIUM,consisting of sand grains of various minerals cemented by calcium carbonate,cemented by|consisting of
HAS_LOCATION,occurs in thin beds dipping seaward at less than 15,occurs in
HAS_FORM,friable to indurated,
HAS_CAUSE,especially when there is a difference in susceptibility to corrosion in the two beds,
HAS_LOCATION,formed along a bedding plane,formed along a
HAS_LOCATION,In a cave,In a
HAS_CAUSE,generally the remains of a partition or bridge,the remains of a
HAS_LOCATION,"jutting out from roof , wall , or floor",jutting out from
HAS_FORM,of which it is an integral part,
HAS_FORM,sharp,
HAS_FORM,thin,
HAS_CAUSE,evolved through karst processes,evolved through
HAS_FORM,closed basin,
HAS_LOCATION,inside a tectonic depression,inside
HAS_LOCATION,in the karst terrains,in the
HAS_SIZE,the largest closed depressions,
HAS_FORM,closed depressions,
HAS_SIZE,largest,
HAS_FORM,"with a wide , flat and nearly horizontal floor , completely enclosed between steep slopes",with a
HAS_SIZE,large,
CONTAINS,large internal area of impermeable rocks with a centrifugal stream network,
HAS_ATTRIBUTE,affected by the vertical oscillations of the water table,
OCCURS_IN_TIME,it is inundated during high-level periods,during
HAS_FORM,with a floor cut entirely across karst rocks,with a
HAS_LOCATION,within the range of tides,within the range of
HAS_LOCATION,in coastal areas that contain exposed bedrock,
HAS_CAUSE,form by wave erosion,form by
HAS_CAUSE,result of developing in the thinning margin of the freshwater lens,result of
HAS_FORM,series of oval rooms,
HAS_SIZE,"extensive in the horizontal direction , but limited in the vertical direction",
HAS_SIZE,from pore size up to large chambers,from|up to
HAS_FUNCTION,provide access to submerged cave passages,provide
HAS_FORM,subsurface voids,
HAS_LOCATION,extend below sea level for a majority of their depth,extend
HAS_LOCATION,developed in carbonate banks and islands,developed in
