Sentence #,Word,Tag_predicted
,izraz,O
,za,O
,antecedentno,O
,dolino,O
,",",O
,to,O
,je,O
,tisti,O
,del,B-SUBJECT
,rečne,B-SUBJECT
,doline,I-SUBJECT
,",",O
,ki,O
,se,I-SUBJECT
,je,O
,ob,B-SUBJECT
,dviganju,I-SUBJECT
,antiklinale,I-SUBJECT
,vrezal,I-SUBJECT
,prečno,I-SUBJECT
,na,I-SUBJECT
,antiklinalo,I-SUBJECT
,.,O
Sentence: 8,Izraz,O
,denudacija,B-SUBJECT
,označuje,O
,razgaljanje,B-SUBJECT
,površja,I-SUBJECT
,oziroma,O
,ploskovno,B-SUBJECT
,odstranjevanje,I-SUBJECT
,preperelih,I-SUBJECT
,snovi,I-SUBJECT
,s,B-SUBJECT
,površja,I-SUBJECT
,zemlje,I-SUBJECT
,z,B-SUBJECT
,eksogenimi,I-SUBJECT
,procesi,I-SUBJECT
,.,O
,površja,O
,preperelih,O
,snovi,O
,ploskovno,O
Sentence: 9,Z,O
,izrazom,O
,zemeljski,B-DEFINIENDUM
,plaz,I-DEFINIENDUM
,razumejo,O
,tako,O
,proces,I-SUBJECT
,",",O
,to,O
,je,O
,"""",O
,premikanje,B-SUBJECT
,kamnin,I-SUBJECT
,ali,I-SUBJECT
,zemlje,I-SUBJECT
,po,B-SUBJECT
,pobočju,I-SUBJECT
,navzdol,I-SUBJECT
,pod,I-SUBJECT
,vplivom,I-SUBJECT
,gravitacije,I-SUBJECT
,.,O
,.,O
,.,O
,"""",O
,.,O
Sentence: 10,Tovrstno,O
,izoblikovanost,O
,krasa,B-SUBJECT
,",",O
,kjer,B-SUBJECT
,se,B-SUBJECT
,osamljeno,B-SUBJECT
,dvigajo,I-SUBJECT
,več,I-SUBJECT
,deset,I-SUBJECT
,ali,I-SUBJECT
,sto,I-SUBJECT
,metrov,I-SUBJECT
,visoke,I-SUBJECT
,vzpetine,I-SUBJECT
,",",O
,imenujemo,O
,kopasti,B-DEFINIENDUM
,kras,I-DEFINIENDUM
,.,O
Sentence: 11,Tip,B-SUBJECT
,kraškega,I-SUBJECT
,površja,I-SUBJECT
,",",O
,kjer,B-SUBJECT
,je,O
,prevladujoča,O
,oblika,O
,vrtače,I-SUBJECT
,",",O
,imenujemo,O
,vrtačasti,B-DEFINIENDUM
,kras,I-DEFINIENDUM
,.,O
Sentence: 12,Holocen,B-DEFINIENDUM
,predstavlja,O
,medledeno,B-SUBJECT
,dobo,I-SUBJECT
,",",O
,ki,O
,se,O
,je,B-SUBJECT
,začela,I-SUBJECT
,pred,O
,približno,I-SUBJECT
,11,I-SUBJECT
,.,I-SUBJECT
,000,I-SUBJECT
,leti,O
,s,I-SUBJECT
,hitrim,I-SUBJECT
,zviševanjem,I-SUBJECT
,morske,I-SUBJECT
,gladine,I-SUBJECT
,.,O
Sentence: 13,Te,B-SUBJECT
,razmeroma,B-SUBJECT
,zaprte,B-SUBJECT
,kotanje,B-SUBJECT
,z,B-SUBJECT
,obsežnim,I-SUBJECT
,",",O
,z,B-SUBJECT
,vrtačami,I-SUBJECT
,razčlenjenim,I-SUBJECT
,dnom,I-SUBJECT
,",",O
,imenujemo,O
,uvale,B-DEFINIENDUM
,.,O
Sentence: 14,Ta,O
,proces,O
,oblikovanja,I-SUBJECT
,rovov,B-SUBJECT
,na,B-SUBJECT
,kontaktnem,I-SUBJECT
,krasu,I-SUBJECT
,imenujemo,O
,parageneza,B-DEFINIENDUM
,.,O
,rovov,O
Sentence: 15,Take,O
,jame,I-SUBJECT
,imenujemo,O
,paragenetske,B-DEFINIENDUM
,jame,I-DEFINIENDUM
,",",O
,zaradi,O
,njihove,B-SUBJECT
,lege,B-SUBJECT
,v,B-SUBJECT
,občasno,I-SUBJECT
,zaliti,I-SUBJECT
,coni,I-SUBJECT
,pa,O
,jih,O
,lahko,O
,imenujemo,O
,tudi,O
,epifreatične,B-DEFINIENDUM
,jame,I-DEFINIENDUM
,.,O
Sentence: 16,Nad,B-SUBJECT
,kraškim,I-SUBJECT
,izvirom,I-SUBJECT
,se,O
,pojavlja,O
,strm,O
,konec,O
,doline,I-SUBJECT
,",",O
,ki,O
,ga,O
,imenujemo,O
,zatrep,B-DEFINIENDUM
,.,O
Sentence: 17,Oznaka,O
,okno,B-DEFINIENDUM
,se,O
,v,O
,geografiji,O
,uporablja,O
,za,O
,večjo,B-SUBJECT
,odprtino,B-SUBJECT
,",",O
,skozi,B-SUBJECT
,katero,O
,se,O
,vidi,O
,ozadje,I-SUBJECT
,.,O
Sentence: 18,Sloj,B-SUBJECT
,med,B-SUBJECT
,najvišjim,I-SUBJECT
,in,I-SUBJECT
,najnižjim,I-SUBJECT
,nivojem,I-SUBJECT
,podzemne,I-SUBJECT
,vode,I-SUBJECT
,v,B-SUBJECT
,krasu,I-SUBJECT
,imenujemo,O
,epifreatična,B-DEFINIENDUM
,cona,I-DEFINIENDUM
,.,O
Sentence: 19,Gladino,B-SUBJECT
,vodnega,B-SUBJECT
,telesa,I-SUBJECT
,v,B-SUBJECT
,freatični,I-SUBJECT
,coni,I-SUBJECT
,imenujemo,O
,nivo,B-SUBJECT
,podzemne,B-SUBJECT
,vode,I-SUBJECT
,v,B-SUBJECT
,krasu,I-SUBJECT
,.,O
Sentence: 20,Višina,O
,točke,O
,",",O
,ki,O
,jo,O
,imenujemo,O
,raven,O
,združevanja,O
,",",O
,je,O
,sorazmerna,O
,meri,O
,različnosti,I-SUBJECT
,med,I-SUBJECT
,skupinama,O
,.,O
Sentence: 21,Enote,B-SUBJECT
,površja,I-SUBJECT
,",",O
,v,B-SUBJECT
,katerih,O
,potekajo,O
,enaki,O
,ali,O
,podobni,O
,procesi,I-SUBJECT
,",",O
,homogeni,O
,po,O
,vrsti,O
,in,O
,intenzivnosti,O
,",",O
,imenujemo,O
,morfogenetske,B-DEFINIENDUM
,enote,I-SUBJECT
,.,O
Sentence: 22,Zelo,B-SUBJECT
,strmo,B-SUBJECT
,pobočje,B-SUBJECT
,z,O
,naklonom,I-SUBJECT
,nad,I-SUBJECT
,55,I-SUBJECT
,ali,I-SUBJECT
,65,I-SUBJECT
,imenujemo,O
,stena,B-DEFINIENDUM
,ali,O
,klif,I-SUBJECT
,.,O
Sentence: 23,Vse,O
,pojave,I-SUBJECT
,premeščanja,I-SUBJECT
,gradiva,I-SUBJECT
,",",O
,ki,B-SUBJECT
,nastanejo,B-SUBJECT
,zaradi,I-SUBJECT
,vpliva,I-SUBJECT
,gravitacije,I-SUBJECT
,in,O
,so,B-SUBJECT
,pomemben,I-SUBJECT
,dejavnik,I-SUBJECT
,denudacije,I-SUBJECT
,površja,I-SUBJECT
,",",O
,imenujemo,O
,pobočni,B-DEFINIENDUM
,procesi,I-DEFINIENDUM
,.,O
Sentence: 24,Spremembo,O
,Shannonove,O
,entropije,I-DEFINIENDUM
,imenujemo,O
,Kolmogorovova,B-DEFINIENDUM
,entropija,I-DEFINIENDUM
,in,O
,je,O
,enaka,O
,vsoti,O
,pozitivnih,O
,Lyapunovovih,O
,eksponentov,O
,.,O
Sentence: 25,Samo,O
,-,O
,podobne,O
,geometrične,B-SUBJECT
,objekte,I-SUBJECT
,imenujemo,O
,tudi,O
,fraktali,B-DEFINIENDUM
,.,O
Sentence: 26,Fraktalna,B-SUBJECT
,dimenzija,I-DEFINIENDUM
,je,O
,tudi,O
,mera,B-SUBJECT
,razgibanosti,I-SUBJECT
,površja,O
,.,O
Sentence: 27,S,B-SUBJECT
,preperevanjem,I-SUBJECT
,apnenca,I-SUBJECT
,in,I-SUBJECT
,dolomita,I-SUBJECT
,nastane,O
,iz,B-SUBJECT
,netopnih,I-SUBJECT
,ostankov,I-SUBJECT
,ilovica,O
,",",O
,ki,O
,jo,O
,skupaj,O
,s,O
,huminskimi,O
,snovmi,O
,imenujemo,O
,jerovica,O
,.,O
,netopnih,O
Sentence: 28,Jerovica,B-DEFINIENDUM
,je,O
,povečini,O
,zmes,B-SUBJECT
,kremenice,I-SUBJECT
,",",O
,aluminijevih,I-SUBJECT
,in,O
,železovih,I-SUBJECT
,oksidov,I-SUBJECT
,.,O
Sentence: 29,Kronometrične,B-SUBJECT
,in,O
,inkrementalne,O
,metode,I-SUBJECT
,datiranja,O
,imenujemo,O
,tudi,O
,absolutne,B-DEFINIENDUM
,metode,I-SUBJECT
,ali,O
,radiometrične,B-DEFINIENDUM
,metode,I-SUBJECT
,.,O
Sentence: 30,Sediment,B-SUBJECT
,nastane,B-SUBJECT
,s,I-SUBJECT
,trenjem,I-SUBJECT
,in,O
,ga,O
,imenujemo,O
,tektonska,B-DEFINIENDUM
,glina,I-DEFINIENDUM
,zaradi,O
,velikosti,O
,delcev,O
,.,O
Sentence: 31,Vsako,O
,povečanje,I-SUBJECT
,obsega,I-SUBJECT
,poledenitve,I-SUBJECT
,imenujemo,O
,ledena,O
,doba,I-DEFINIENDUM
,ali,O
,glacial,O
,.,O
Sentence: 32,Ljudsko,O
,ime,O
,lašt,B-DEFINIENDUM
,izhaja,O
,iz,O
,območja,I-SUBJECT
,Julijskih,O
,Alp,O
,in,O
,ponazarja,O
,specifično,O
,obliko,O
,škrapelj,B-SUBJECT
,.,O
,Gre,O
,za,O
,večje,B-SUBJECT
,skladovne,B-SUBJECT
,police,I-SUBJECT
,ali,O
,kamnite,I-SUBJECT
,ploskve,I-SUBJECT
,z,B-SUBJECT
,velikimi,I-SUBJECT
,ravnimi,I-SUBJECT
,strukturnimi,I-SUBJECT
,površinami,I-SUBJECT
,in,O
,enakim,O
,strmcem,I-SUBJECT
,.,O
Sentence: 33,Preperevanje,B-SUBJECT
,ali,O
,vodna,B-SUBJECT
,erozija,I-SUBJECT
,odnese,O
,/,O
,izpodje,O
,manj,O
,odporno,I-SUBJECT
,kamnino,I-SUBJECT
,",",O
,ostane,O
,pa,O
,bolj,O
,odporna,O
,kamnina,I-SUBJECT
,",",O
,ki,O
,predstavlja,O
,streho,PAD
,spodmola,I-SUBJECT
,.,O
Sentence: 34,Pri,O
,izrazu,O
,pobočni,B-DEFINIENDUM
,procesi,I-DEFINIENDUM
,ime,O
,pove,O
,",",O
,da,O
,gre,O
,za,O
,procese,I-SUBJECT
,",",O
,ki,O
,se,O
,dogajajo,B-SUBJECT
,na,B-SUBJECT
,pobočjih,I-SUBJECT
,.,O
Sentence: 35,Uvala,B-DEFINIENDUM
,je,O
,večja,B-SUBJECT
,kraška,B-SUBJECT
,globel,I-SUBJECT
,skledaste,B-SUBJECT
,oblike,I-SUBJECT
,z,B-SUBJECT
,neravnim,I-SUBJECT
,dnom,I-SUBJECT
,in,O
,sklenjenim,I-SUBJECT
,višjim,I-SUBJECT
,obodom,I-SUBJECT
,.,O
,Praviloma,B-SUBJECT
,je,B-SUBJECT
,manjša,B-SUBJECT
,od,I-SUBJECT
,kraškega,I-SUBJECT
,polja,I-SUBJECT
,in,O
,večja,B-SUBJECT
,od,I-SUBJECT
,vrtače,I-SUBJECT
,.,O
Sentence: 36,Slovenska,O
,kraška,O
,terminologija,O
,navaja,O
,",",O
,da,O
,je,O
,vrtača,B-DEFINIENDUM
,:,O
,depresijska,B-SUBJECT
,oblika,I-SUBJECT
,okroglaste,B-SUBJECT
,oblike,I-SUBJECT
,",",O
,navadno,B-SUBJECT
,globoka,I-SUBJECT
,več,I-SUBJECT
,metrov,I-SUBJECT
,in,O
,je,B-SUBJECT
,bolj,I-SUBJECT
,široka,I-SUBJECT
,kot,I-SUBJECT
,globoka,I-SUBJECT
,.,O
Sentence: 37,Požiralnik,B-DEFINIENDUM
,je,O
,definiran,O
,kot,O
,špranja,B-SUBJECT
,ali,O
,brezno,B-SUBJECT
,v,B-SUBJECT
,skalnem,I-SUBJECT
,koritu,I-SUBJECT
,",",O
,ki,B-SUBJECT
,požira,I-SUBJECT
,vodo,I-SUBJECT
,",",O
,ponikev,B-SUBJECT
,kot,B-SUBJECT
,odprtina,I-SUBJECT
,",",O
,v,B-SUBJECT
,katero,I-SUBJECT
,ponika,I-SUBJECT
,voda,I-SUBJECT
,in,O
,je,B-SUBJECT
,večinoma,I-SUBJECT
,prekrita,I-SUBJECT
,z,I-SUBJECT
,naplavino,I-SUBJECT
,",",O
,ponor,O
,pa,O
,kot,O
,večja,B-SUBJECT
,vodoravna,B-SUBJECT
,odprtina,I-SUBJECT
,v,B-SUBJECT
,katero,I-SUBJECT
,teče,I-SUBJECT
,potok,I-SUBJECT
,ali,O
,reka,I-SUBJECT
Sentence: 38,Slovenska,O
,kraška,O
,terminologija,O
,opredeli,O
,hum,PAD
,kot,O
,osamljen,O
,korozijsko,B-SUBJECT
,-,I-SUBJECT
,erozijsko,I-SUBJECT
,-,I-SUBJECT
,denudacijski,I-SUBJECT
,ostanek,I-SUBJECT
,višjega,I-SUBJECT
,reliefa,I-SUBJECT
,",",O
,zlasti,B-SUBJECT
,na,B-SUBJECT
,dnu,I-SUBJECT
,kraškega,I-SUBJECT
,polja,I-SUBJECT
,.,O
Sentence: 39,Ford,O
,in,O
,Williams,O
,opišeta,O
,hume,B-DEFINIENDUM
,kot,O
,eno,O
,izmed,O
,štirih,O
,tipov,O
,stolpičastega,I-SUBJECT
,krasa,I-SUBJECT
,",",O
,in,O
,sicer,O
,kot,O
,ostanke,B-SUBJECT
,vzpetin,B-SUBJECT
,",",O
,ki,B-SUBJECT
,štrlijo,B-SUBJECT
,iz,B-SUBJECT
,izravnanega,I-SUBJECT
,karbonatnega,I-SUBJECT
,površja,I-SUBJECT
,",",O
,ki,B-SUBJECT
,ga,I-SUBJECT
,prekriva,I-SUBJECT
,aluvij,I-SUBJECT
,.,O
,karbonatnega,O
Sentence: 40,Kraška,B-DEFINIENDUM
,polja,I-DEFINIENDUM
,so,O
,največje,O
,in,O
,gospodarsko,O
,najpomembnejše,O
,kotanje,I-SUBJECT
,v,B-SUBJECT
,dinarskem,B-DEFINIENDUM
,krasu,I-SUBJECT
,.,O
Sentence: 41,Škavnice,B-DEFINIENDUM
,so,O
,skledaste,B-SUBJECT
,vdolbine,B-SUBJECT
,na,B-SUBJECT
,vodoravni,I-SUBJECT
,ali,I-SUBJECT
,rahlo,I-SUBJECT
,nagnjeni,I-SUBJECT
,skalni,I-SUBJECT
,podlagi,I-SUBJECT
,.,O
Sentence: 42,Žlebiči,B-SUBJECT
,in,O
,žlebovi,O
,so,O
,žlebaste,B-SUBJECT
,izjedenine,B-SUBJECT
,s,B-SUBJECT
,polkrožnim,I-SUBJECT
,prečnim,I-SUBJECT
,prerezom,I-SUBJECT
,",",O
,ki,B-SUBJECT
,se,I-SUBJECT
,oblikujejo,I-SUBJECT
,na,B-SUBJECT
,ravnem,I-SUBJECT
,kompaktnem,I-SUBJECT
,skalnem,I-SUBJECT
,površju,I-SUBJECT
,in,O
,potekajo,I-SUBJECT
,v,I-SUBJECT
,smeri,I-SUBJECT
,največjega,I-SUBJECT
,naklona,I-SUBJECT
Sentence: 43,Erozijski,B-DEFINIENDUM
,jarki,I-DEFINIENDUM
,nastanejo,B-SUBJECT
,s,B-SUBJECT
,kanaliziranjem,I-SUBJECT
,površinskega,I-SUBJECT
,toka,I-SUBJECT
,",",O
,predvsem,O
,tam,B-SUBJECT
,",",O
,kjer,I-SUBJECT
,so,I-SUBJECT
,že,I-SUBJECT
,reliefno,I-SUBJECT
,(,I-SUBJECT
,naravno,I-SUBJECT
,),I-SUBJECT
,zasnovane,I-SUBJECT
,linije,I-SUBJECT
,odtoka,I-SUBJECT
,",",O
,pa,O
,tudi,O
,ob,B-SUBJECT
,raznih,O
,antropogenih,I-SUBJECT
,oblikah,I-SUBJECT
,(,O
,npr,O
,.,O
,izkopih,I-SUBJECT
,",",I-SUBJECT
,njivskih,I-SUBJECT
,brazdah,I-SUBJECT
,",",O
,mejah,I-SUBJECT
,parcel,I-SUBJECT
,",",O
,poteh,I-SUBJECT
,in,O
,cestah,I-SUBJECT
,),O
,.,O
Sentence: 44,Veter,B-DEFINIENDUM
,je,O
,gibanje,B-SUBJECT
,zraka,O
,",",O
,ki,O
,nastane,B-SUBJECT
,zaradi,B-SUBJECT
,razlik,I-SUBJECT
,v,I-SUBJECT
,zračnem,I-SUBJECT
,tlaku,I-SUBJECT
,.,O
Sentence: 45,Proces,B-SUBJECT
,",",O
,v,B-SUBJECT
,katerem,O
,se,I-SUBJECT
,trdna,I-SUBJECT
,kompaktna,I-SUBJECT
,kamnina,I-SUBJECT
,pod,B-SUBJECT
,vplivom,I-SUBJECT
,eksogenih,I-SUBJECT
,dejavnikov,I-SUBJECT
,razkraja,I-SUBJECT
,v,I-SUBJECT
,manjše,I-SUBJECT
,in,I-SUBJECT
,med,I-SUBJECT
,seboj,I-SUBJECT
,nepovezane,I-SUBJECT
,delce,I-SUBJECT
,",",O
,imenujemo,O
,preperevanje,B-DEFINIENDUM
,.,O
Sentence: 46,Tlačna,B-DEFINIENDUM
,trdnost,I-DEFINIENDUM
,je,O
,odpornost,B-SUBJECT
,proti,I-SUBJECT
,tlačni,I-SUBJECT
,obremenitvi,I-SUBJECT
,",",O
,ki,O
,jo,I-SUBJECT
,kamnina,I-SUBJECT
,prenese,I-SUBJECT
,",",I-SUBJECT
,preden,I-SUBJECT
,se,I-SUBJECT
,zdrobi,I-SUBJECT
,.,O
Sentence: 47,Po,O
,prvi,O
,definiciji,O
,je,O
,spodmol,B-SUBJECT
,prostor,B-SUBJECT
,pod,B-SUBJECT
,previsom,I-SUBJECT
,v,B-SUBJECT
,skalovju,I-SUBJECT
,",",O
,po,O
,drugi,O
,pa,O
,kratka,B-SUBJECT
,vodoravna,B-SUBJECT
,jama,I-SUBJECT
,pod,B-SUBJECT
,previsno,I-SUBJECT
,steno,I-SUBJECT
,.,O
,kratka,O
Sentence: 48,Večji,B-SUBJECT
,ali,O
,manjši,O
,del,O
,kraškega,I-SUBJECT
,polja,I-SUBJECT
,je,O
,ravnica,O
,",",O
,običajno,O
,obdelana,B-SUBJECT
,zemlja,I-SUBJECT
,",",O
,ki,O
,je,B-SUBJECT
,največkrat,I-SUBJECT
,na,B-SUBJECT
,naplavini,I-SUBJECT
,ali,I-SUBJECT
,debeli,I-SUBJECT
,prsti,I-SUBJECT
,.,O
Sentence: 49,Odlaganje,B-SUBJECT
,sige,I-SUBJECT
,je,O
,proces,B-SUBJECT
,",",O
,ki,O
,je,O
,ravno,O
,nasproten,O
,koroziji,I-SUBJECT
,.,O
Sentence: 50,Glaciologija,B-DEFINIENDUM
,je,O
,raziskava,B-SUBJECT
,in,O
,preučevanje,O
,ledenikov,O
,",",O
,ledenih,O
,plošč,I-SUBJECT
,",",O
,morskega,I-SUBJECT
,ledu,I-SUBJECT
,",",O
,sezonskega,B-SUBJECT
,snega,I-SUBJECT
,",",O
,zamrznjenih,I-SUBJECT
,tal,I-SUBJECT
,in,O
,vseh,O
,drugih,O
,naravnih,O
,pojavov,I-SUBJECT
,",",O
,ki,O
,vključujejo,O
,led,O
,in,O
,njegove,O
,učinke,O
,na,O
,okolje,O
,.,O
Sentence: 51,Podkategorija,O
,te,O
,znanosti,O
,je,O
,astroglaciologija,B-SUBJECT
,",",O
,ki,O
,je,O
,nastala,B-SUBJECT
,po,O
,odkritju,I-SUBJECT
,vodnega,B-SUBJECT
,ledu,I-SUBJECT
,na,O
,Luni,I-SUBJECT
,",",O
,Evropi,I-SUBJECT
,",",O
,Marsu,I-SUBJECT
,in,O
,Plutonu,I-SUBJECT
,.,O
Sentence: 52,Spodmol,B-DEFINIENDUM
,je,O
,definiran,O
,tudi,O
,kot,O
,previs,B-SUBJECT
,na,B-SUBJECT
,morski,I-SUBJECT
,",",I-SUBJECT
,redkeje,I-SUBJECT
,jezerski,I-SUBJECT
,obali,I-SUBJECT
,",",O
,ki,O
,ga,I-SUBJECT
,ustvari,I-SUBJECT
,erozijsko,I-SUBJECT
,delovanje,I-SUBJECT
,valov,I-SUBJECT
,in,O
,kot,O
,kraška,B-SUBJECT
,jama,I-SUBJECT
,.,O
Sentence: 53,Škraplje,B-DEFINIENDUM
,so,O
,ena,O
,izmed,O
,najbolj,O
,tipičnih,O
,površinskih,B-SUBJECT
,kraških,I-SUBJECT
,oblik,I-SUBJECT
,",",O
,ki,O
,jih,B-SUBJECT
,sestavljajo,I-SUBJECT
,korozijsko,I-SUBJECT
,razširjene,I-SUBJECT
,razpoke,I-SUBJECT
,ter,O
,vmesni,B-SUBJECT
,bloki,I-SUBJECT
,.,O
Sentence: 54,Kopasti,B-DEFINIENDUM
,vrhovi,I-DEFINIENDUM
,so,O
,najpogostejši,O
,tip,O
,kraške,B-SUBJECT
,vzpetine,I-SUBJECT
,.,O
,Gre,O
,za,O
,višje,B-SUBJECT
,predele,I-SUBJECT
,kraškega,I-SUBJECT
,površja,I-SUBJECT
,",",O
,ki,O
,navadno,O
,ležijo,B-SUBJECT
,med,I-SUBJECT
,zaprtimi,I-SUBJECT
,kraškimi,I-SUBJECT
,kotanjami,I-SUBJECT
,različnih,O
,dimenzij,I-SUBJECT
,",",O
,kot,O
,so,O
,uvale,B-SUBJECT
,",",O
,vrtače,I-SUBJECT
,in,O
,druge,O
,manjše,B-SUBJECT
,globeli,I-SUBJECT
,.,O
Sentence: 55,Kotliči,B-SUBJECT
,so,B-SUBJECT
,skalnate,B-SUBJECT
,globeli,I-SUBJECT
,okrogle,B-SUBJECT
,",",O
,podolgovate,I-SUBJECT
,ali,I-SUBJECT
,oglate,I-SUBJECT
,oblike,I-SUBJECT
,s,B-SUBJECT
,premerom,I-SUBJECT
,in,I-SUBJECT
,globino,I-SUBJECT
,nekaj,I-SUBJECT
,metrov,I-SUBJECT
,ter,O
,strmimi,I-SUBJECT
,do,I-SUBJECT
,navpičnimi,I-SUBJECT
,stenami,I-SUBJECT
,.,O
Sentence: 56,V,O
,gradbeništvu,O
,oziroma,O
,vodarstvu,O
,pojem,O
,težnostna,B-DEFINIENDUM
,erozija,I-DEFINIENDUM
,obsega,O
,pojave,B-SUBJECT
,plazne,B-SUBJECT
,",",O
,usadne,B-SUBJECT
,in,O
,podorne,I-SUBJECT
,erozije,I-SUBJECT
,oziroma,O
,pojave,O
,",",O
,ki,O
,jih,O
,pogosto,O
,imenujemo,O
,skupaj,O
,kar,O
,zemeljski,O
,plazovi,O
,.,O
Sentence: 57,Jame,B-DEFINIENDUM
,so,O
,pogosto,O
,opredeljene,O
,kot,O
,naravne,B-SUBJECT
,podzemeljske,B-SUBJECT
,votline,I-SUBJECT
,",",O
,ki,B-SUBJECT
,so,B-SUBJECT
,prehodne,I-SUBJECT
,za,I-SUBJECT
,človeka,I-SUBJECT
,.,O
Sentence: 58,Vrtače,B-DEFINIENDUM
,so,O
,običajno,O
,krožne,B-SUBJECT
,do,I-SUBJECT
,polkrožne,I-SUBJECT
,reliefne,I-SUBJECT
,oblike,I-SUBJECT
,",",O
,ki,B-SUBJECT
,se,O
,razlikujejo,B-SUBJECT
,v,I-SUBJECT
,premeru,I-SUBJECT
,od,I-SUBJECT
,nekaj,I-SUBJECT
,m,I-SUBJECT
,do,I-SUBJECT
,1,I-SUBJECT
,km,I-SUBJECT
,.,O
Sentence: 59,Vdolbinice,B-DEFINIENDUM
,se,O
,pojavljajo,B-SUBJECT
,kot,B-SUBJECT
,majhne,B-SUBJECT
,izjedenine,B-SUBJECT
,v,B-SUBJECT
,skalni,I-SUBJECT
,podlagi,I-SUBJECT
,.,O
Sentence: 60,Odlaganje,B-SUBJECT
,sige,I-SUBJECT
,je,O
,proces,B-SUBJECT
,",",O
,ki,O
,je,O
,ravno,O
,nasproten,O
,koroziji,I-SUBJECT
,.,O
,Odlaganje,B-SUBJECT
Sentence: 61,Suho,B-DEFINIENDUM
,kraško,I-DEFINIENDUM
,polje,I-DEFINIENDUM
,je,O
,tisto,O
,kraško,B-SUBJECT
,polje,I-SUBJECT
,",",O
,ki,O
,je,B-SUBJECT
,brez,O
,izvirov,O
,ali,O
,ponorov,O
,",",O
,zato,O
,ni,O
,stalnih,O
,ali,O
,občasnih,O
,vodotokov,O
,.,O
Sentence: 62,Prisotne,O
,so,O
,tudi,O
,večje,O
,kraške,B-SUBJECT
,oblike,I-SUBJECT
,",",O
,kot,O
,so,O
,uvale,B-SUBJECT
,in,O
,številne,O
,vrtače,O
,.,O
Sentence: 63,Kemično,B-DEFINIENDUM
,preperevanje,I-DEFINIENDUM
,je,O
,razgrajevanje,B-SUBJECT
,kamnine,I-SUBJECT
,pod,I-SUBJECT
,vplivom,I-SUBJECT
,vode,I-SUBJECT
,in,O
,v,I-SUBJECT
,njej,I-SUBJECT
,raztopljenih,I-SUBJECT
,snovi,I-SUBJECT
,.,O
